64960 0.51
10.2 1.53 -1.000000002
10.71 1.53 -1.000000002
11.22 1.53 -1.000000002
11.73 1.53 -1.000000002
12.24 1.53 -1.000000002
12.75 1.53 -1.000000002
13.26 1.53 -1.000000002
13.77 1.53 -1.000000002
14.280000000000001 1.53 -1.000000002
14.781736433681042 1.53 -1.0043685312369475
27.038299576195303 1.53 -1.0044217382795502
27.54 1.53 -1.000000002
28.05 1.53 -1.000000002
28.560000000000002 1.53 -1.000000002
29.07 1.53 -1.000000002
29.580000000000002 1.53 -1.000000002
30.09 1.53 -1.000000002
30.6 1.53 -1.000000002
31.11 1.53 -1.000000002
31.62 1.53 -1.000000002
32.13 1.53 -1.000000002
32.64 1.53 -1.000000002
33.15 1.53 -1.000000002
33.660000000000004 1.53 -1.000000002
34.17 1.53 -1.000000002
34.68 1.53 -1.000000002
35.19 1.53 -1.000000002
35.7 1.53 -1.000000002
36.21 1.53 -1.000000002
36.72 1.53 -1.000000002
37.230000000000004 1.53 -1.000000002
37.74 1.53 -1.000000002
38.25 1.53 -1.000000002
38.76 1.53 -1.000000002
39.27 1.53 -1.000000002
39.78 1.53 -1.000000002
40.29 1.53 -1.000000002
40.8 1.53 -1.000000002
41.31 1.53 -1.000000002
41.82 1.53 -1.000000002
42.33 1.53 -1.000000002
0.0 2.04 -1.000000002
0.51 2.04 -1.000000002
1.02 2.04 -1.000000002
1.53 2.04 -1.000000002
2.04 2.04 -1.000000002
2.55 2.04 -1.000000002
3.06 2.04 -1.000000002
3.5700000000000003 2.04 -1.000000002
4.08 2.04 -1.000000002
4.59 2.04 -1.000000002
5.1 2.04 -1.000000002
5.61 2.04 -1.000000002
6.12 2.04 -1.000000002
6.63 2.04 -1.000000002
7.140000000000001 2.04 -1.000000002
7.65 2.04 -1.000000002
8.16 2.04 -1.000000002
8.67 2.04 -1.000000002
9.18 2.04 -1.000000002
9.69 2.04 -1.000000002
10.2 2.04 -1.000000002
10.71 2.04 -1.000000002
11.22 2.04 -1.000000002
11.73 2.04 -1.000000002
12.24 2.04 -1.000000002
12.75 2.04 -1.000000002
13.26 2.04 -1.000000002
13.77 2.04 -1.000000002
14.280000000000001 2.04 -1.000000002
14.781736433681042 2.04 -1.0043685312369475
27.038299576195303 2.04 -1.0044217382795502
27.54 2.04 -1.000000002
28.05 2.04 -1.000000002
28.560000000000002 2.04 -1.000000002
29.07 2.04 -1.000000002
29.580000000000002 2.04 -1.000000002
30.09 2.04 -1.000000002
30.6 2.04 -1.000000002
31.11 2.04 -1.000000002
31.62 2.04 -1.000000002
32.13 2.04 -1.000000002
32.64 2.04 -1.000000002
33.15 2.04 -1.000000002
33.660000000000004 2.04 -1.000000002
34.17 2.04 -1.000000002
34.68 2.04 -1.000000002
35.19 2.04 -1.000000002
35.7 2.04 -1.000000002
36.21 2.04 -1.000000002
36.72 2.04 -1.000000002
37.230000000000004 2.04 -1.000000002
37.74 2.04 -1.000000002
38.25 2.04 -1.000000002
38.76 2.04 -1.000000002
39.27 2.04 -1.000000002
39.78 2.04 -1.000000002
40.29 2.04 -1.000000002
40.8 2.04 -1.000000002
41.31 2.04 -1.000000002
41.82 2.04 -1.000000002
42.33 2.04 -1.000000002
0.0 2.55 -1.000000002
0.51 2.55 -1.000000002
1.02 2.55 -1.000000002
1.53 2.55 -1.000000002
2.04 2.55 -1.000000002
2.55 2.55 -1.000000002
3.06 2.55 -1.000000002
3.5700000000000003 2.55 -1.000000002
4.08 2.55 -1.000000002
4.59 2.55 -1.000000002
5.1 2.55 -1.000000002
5.61 2.55 -1.000000002
6.12 2.55 -1.000000002
6.63 2.55 -1.000000002
7.140000000000001 2.55 -1.000000002
7.65 2.55 -1.000000002
8.16 2.55 -1.000000002
8.67 2.55 -1.000000002
